,HDI rank,Country,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling ,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,Gender Inequality Index,Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament,1990,2000,2010,2012,2014,2015,2016,2017
93,94,Dominican Republic,0.7357979194223809,74.048,13.74086,7.82541,13920.99426,-15,0.4506583386687819,92,94.971,24.32432432,0.5979551794726222,0.6565995652904462,0.7024902407264302,0.709738900718941,0.7183603203980108,0.7294809430038581,0.7326077928147052,0.7357979194223809
94,95,Jordan,0.7353731396698097,74.476,13.135925,10.386,8288.462845,16,0.4596399705769848,58,22.439,15.38461538,0.6167022940391338,0.7021359842614932,0.728178591065106,0.7264543905101549,0.7298049894833792,0.7330817722137766,0.7349206701608673,0.7353731396698097
95,95,Tunisia,0.7347200973307121,75.943,15.10152,7.17226,10275.31974,7,0.29832882004274075,62,7.653,31.33640553,0.5688507296446883,0.6533526009223154,0.7156562457379582,0.719402209070876,0.7251711186495877,0.7279158603924567,0.7323536768876926,0.7347200973307121
96,97,Jamaica,0.7322409234751344,76.097,13.14003447,9.76,7845.587252,17,0.41156513395501826,89,52.757,19.04761905,0.6377554052338591,0.6617186369944018,0.7122568042406257,0.720777038604539,0.7283514072657657,0.7296452167606543,0.7315926436068267,0.7322409234751344
97,98,Tonga,0.725644707457446,73.179,14.3,11.18,5547.173004,37,0.41616478703707194,124,14.662,7.692307692,0.6479092804421338,0.6728052525508549,0.7116187658386071,0.7167427753660452,0.7172437252958653,0.7207293999138767,0.7236502962647889,0.725644707457446
98,99,Saint Vincent and the Grenadines,0.7227078992345813,73.294,13.25641,8.6,10498.69288,0,..,45,49.02,13.04347826,..,0.6734489928723423,0.7150770121762156,0.7177782786416628,0.7199306994353274,0.7203746214544196,0.7214874854174388,0.7227078992345813
99,100,Suriname,0.7196124218711658,71.523,12.7,8.507,13305.81816,-16,0.44106518681365425,155,46.034,25.49019608,..,..,0.7030670840228658,0.7111371155506592,0.7182418403855135,0.7214976863235268,0.7194555094428272,0.7196124218711658
100,101,Botswana,0.7165521285775484,67.618,12.61731,9.25333,15533.64924,-26,0.4344885664017939,129,29.982,9.523809524,0.5809934651639097,0.5647879948245503,0.6600469260373684,0.6830086862334216,0.7012297602674455,0.7060189054850947,0.712170623292188,0.7165521285775484
101,101,Maldives,0.7168643505721344,77.649,12.58675195,6.31118,13567.34387,-19,0.3431153430546422,68,5.792,5.882352941,..,0.6055964986256842,0.670635292481827,0.687666131081713,0.704528311599535,0.7095858522005161,0.7124174664008122,0.7168643505721344
102,103,Dominica,0.7150565930334234,78.032,12.7,7.8,8343.930644,6,..,..,..,25,..,0.6928710942572549,0.7217327156032037,0.7210733361828232,0.7237937685823143,0.7213003932753904,0.7183648756954577,0.7150565930334234
103,104,Samoa,0.712812176548273,75.24,12.52,10.3159,5909.373722,24,0.36507425676542427,51,23.886,10,0.6199911285279279,0.6468046954282394,0.6925546529180431,0.6973548958645107,0.7025358971294505,0.7062444432896658,0.7107872592048272,0.712812176548273
104,105,Uzbekistan,0.7098466466924921,71.42,12.01214,11.52496,6470.082622,19,0.27448516213734,36,16.524,16.4,..,0.5951552127378018,0.6663193714849399,0.6826892261837142,0.6950107511488217,0.6981167212608528,0.7029659149210646,0.7098466466924921
105,106,Belize,0.7075531543662794,70.588,12.8154,10.48,7165.80992,14,0.3858252620610476,28,63.466,11.11111111,0.6437926544092007,0.6774022063629856,0.6988149093575934,0.706324970358882,0.7056684141408628,0.7088528106438419,0.708506635576006,0.7075531543662794
106,106,Marshall Islands,0.7079474155754794,73.62,13,10.86577,5124.896151,33,..,..,..,9.090909091,..,..,..,..,..,..,..,0.7079474155754794
107,108,Libya,0.7055994252402138,72.11,13.4025,7.31,11100.09739,-12,0.17020605775850928,9,5.661,15.95744681,0.6767829117644815,0.726982459498049,0.7554473526926754,0.7406243839592361,0.6949920467507558,0.6941961849738796,0.6934677479110143,0.7055994252402138
108,108,Turkmenistan,0.7062571082413117,67.956,10.79994,9.78,15594.47253,-34,..,42,24.418,25.80645161,..,..,0.6734076893966001,0.6860138379093037,0.6969057001106334,0.7011543503129287,0.7045414282539293,0.7062571082413117
109,110,Gabon,0.7022164257538289,66.48,12.8135,8.17273,16430.68992,-40,0.5335693123314893,291,95.301,17.35159817,0.6199651646613548,0.6325046597183481,0.6653212303842219,0.6784663050213958,0.6934143636979441,0.6944855235479178,0.6982772758224051,0.7022164257538289
110,110,Paraguay,0.7016624340509343,73.211,12.68790331,8.35145,8380.129335,-2,0.46737738075335666,132,55.694,16,0.5799971997921746,0.6235229951597157,0.6745032237327068,0.6799615704208598,0.698049961644989,0.7017710956634328,0.7015358727488171,0.7016624340509343
111,112,Moldova (Republic of),0.6997533990527542,71.718,11.63386,11.59536,5553.85036,22,0.22619397840407873,23,21.956,22.77227723,0.651254577291858,0.5972991009359296,0.6699312299403286,0.6835023753979745,0.6958421654928262,0.6932687078926331,0.6966662491101508,0.6997533990527542
112,113,Philippines,0.698932372536762,69.238,12.59039,9.32687,9153.54352,-7,0.42743586830778924,114,60.499,29.11392405,0.5856467865525434,0.6242573179550914,0.6651358873505164,0.6773115492543944,0.6885004514230597,0.6926391361764077,0.6957943328974255,0.698932372536762
113,113,South Africa,0.6990300546822689,63.404,13.33729,10.13415,11923.2677,-23,0.38939393686291046,138,42.78,41.03139013,0.6182321750324834,0.6299485720850246,0.649358712702558,0.6642913879814796,0.6848346432089923,0.6919072882008707,0.6957324537270522,0.6990300546822689
114,115,Egypt,0.695607555788064,71.661,13.08981,7.218,10354.80181,-15,0.44880739053486673,33,50.042,14.93288591,0.5464647061028034,0.6106904395816434,0.6653396407700275,0.6748593820749839,0.6827017346165627,0.6905890550077983,0.6939856334162647,0.695607555788064
115,116,Indonesia,0.693979663942119,69.355,12.81311,7.97615,10846.33795,-19,0.45338499647522434,126,47.374,19.82142857,0.5280511583781793,0.6059835594839511,0.6612656933846881,0.675374635223808,0.6834192854801973,0.6863666727399361,0.6913057597481875,0.693979663942119
116,116,Viet Nam,0.6939980621338809,76.454,12.692323,8.2,5858.898113,14,0.30446923367779166,54,27.283,26.72064777,0.4751585170288593,0.5785094173200944,0.6539616459453187,0.6696355795833779,0.6777553613298509,0.6836267386522272,0.6886465208928686,0.6939980621338809
117,118,Bolivia (Plurinational State of),0.6925369705093105,69.473,14.02422747,8.91507,6714.027191,5,0.45045111826296536,206,68.145,51.80722892,0.5355362310249341,0.6075203894352663,0.6487611902385054,0.6619846413458041,0.6746991151443306,0.6809617718835744,0.6888710189136826,0.6925369705093105
118,119,"Palestine, State of",0.6858355150067897,73.646,12.82014,9.10464,5055.086173,21,..,45,56.247,..,..,..,0.671660070618033,0.6866195194770103,0.6791242202977761,0.6867056588010878,0.6890255336500877,0.6858355150067897
119,120,Iraq,0.6853170777200905,70.038,11.048673,6.81945,17789.24844,-53,0.5060137972776755,50,80.136,25.30487805,0.5719494404202247,0.6071671558588404,0.6493906009686161,0.6593408001493455,0.6663353935418144,0.6677500968875425,0.6720803438515256,0.6853170777200905
120,121,El Salvador,0.6741587268426402,73.75,12.60515,6.8945,6868.107606,0,0.39229273101024476,54,69.459,32.14285714,0.5288276898362787,0.614647257697875,0.6707256711124354,0.669850781931504,0.6698873033807176,0.6735934880275546,0.6789223611795083,0.6741587268426402
121,122,Kyrgyzstan,0.6721930332466709,71.069,13.40113,10.87623,3255.238583,32,0.3921106162561637,76,38.116,19.16666667,0.6175773443257163,0.5939773888060312,0.6363842302614878,0.6487512382989878,0.6631070375074496,0.6656091697281095,0.6688049807386609,0.6721930332466709
122,123,Morocco,0.6665125699524036,76.059,12.42933984,5.514,7339.621319,-5,0.48238149862362556,121,31.095,18.44660194,0.4581962947383277,0.5302068127732862,0.616026835006826,0.6353819782177862,0.6496558310850139,0.6552329664167725,0.6623283972834622,0.6665125699524036
123,124,Nicaragua,0.6577397891158813,75.653,12.07148158,6.68,5157.315656,14,0.4559213812709537,150,85.396,45.65217391,0.4891878736614786,0.5698386580759576,0.6211149553995479,0.6327236580914946,0.648697698989011,0.6523565045017748,0.6566258270342807,0.6577397891158813
124,125,Cabo Verde,0.6540307184282435,73.004,12.6342,6.12469,5983.137566,2,..,42,73.759,20.83333333,..,0.5701055218655174,0.6289745025567158,0.6359234896255634,0.6437815642109338,0.6473759782024123,0.6517521126344765,0.6540307184282435
125,125,Guyana,0.6536372429819308,66.766,11.36109,8.4165,7446.545958,-8,0.5039030242464789,229,85.812,31.88405797,0.5377448109885463,0.6044042285926479,0.6302612141267303,0.6415810746093923,0.6475881779564504,0.6514661131451358,0.6519350356978745,0.6536372429819308
126,127,Guatemala,0.6503116225206038,73.654,10.75103,6.47414,7278.142303,-8,0.4932064183460573,88,70.93,12.65822785,0.4775394064534192,0.5462426542852375,0.6113987914264014,0.6127368651227714,0.6428326115858466,0.6446633400281057,0.6487081717651998,0.6503116225206038
127,127,Tajikistan,0.6500145296865628,71.214,11.21908,10.42,3317.42398,25,0.31653033380126305,32,36.416,20,0.6227164241490986,0.5500790915519289,0.6340556738386623,0.6416851691886032,0.6453621747334658,0.6447286593147463,0.6468118707664386,0.6500145296865628
128,129,Namibia,0.6465252698230035,64.85,12.34296,6.84,9387.195907,-25,0.47200145813286165,265,73.81,36.30136986,0.5788459621578947,0.5580614371456254,0.5944020918202858,0.6174088528508749,0.6364154096633607,0.6419224968200359,0.6446403769745731,0.6465252698230035
129,130,India,0.6398329108958057,68.803,12.34981,6.398,6353.045173,-5,0.5240569340081183,174,23.074,11.57760814,0.42744606129973567,0.4934387310287768,0.5805535804101832,0.5996451381093597,0.6179306474121841,0.6265283066560839,0.6360460094561482,0.6398329108958057
130,131,Micronesia (Federated States of),0.6272546877748624,69.316,11.7,7.95474,3842.907105,13,..,100,13.924,0,..,0.5516443923034058,0.6082139186902323,0.616309552379719,0.6181567637423006,0.6267156634279709,0.6267320038986718,0.6272546877748624
131,132,Timor-Leste,0.6249440976701646,69.199,12.75465002,4.5243,6846.390045,-10,..,215,43.978,32.30769231,..,0.5072820210894862,0.6193127321175428,0.5986252491010526,0.6096782103122832,0.6296359873887746,0.6314324501631974,0.6249440976701646
132,133,Honduras,0.6167167493578976,73.774,10.22359,6.53113,4215.293803,8,0.4609229270976697,129,70.789,25.78125,0.5060237505148838,0.5544227285293823,0.5956967182655375,0.5967738998690023,0.6026740377020257,0.6094122591619766,0.6143757285857856,0.6167167493578976
133,134,Bhutan,0.6124176091052876,70.565,12.26823,3.1337,8064.827651,-21,0.47595836085550225,148,20.339,8.333333333,..,..,0.5657820651781291,0.5848861989832728,0.5992750475105102,0.6028687174420443,0.6085177661596782,0.6124176091052876
134,134,Kiribati,0.6117840256771476,66.506,12.89534671,7.86553,3041.866614,22,..,90,16.177,6.52173913,..,0.5515493375008403,0.5897079859393459,0.5984886427812098,0.6157630705082106,0.6214613490618548,0.6101660543405226,0.6117840256771476
135,136,Bangladesh,0.6081558370319278,72.808,11.3645672,5.78332,3676.923378,9,0.5423126867352412,176,83.508,20.28571429,0.3868518012556137,0.46835056933854063,0.5454242146326232,0.5664973004415221,0.5831667918251406,0.5920026883187368,0.5970601916446718,0.6081558370319278
136,137,Congo,0.6062825819536497,65.088,11.37073479,6.31,5694.221011,-5,0.5784448469544679,442,111.819,13.96396396,0.5363382202569474,0.48953252975197015,0.5571661954287471,0.572599549375081,0.5953799499178036,0.6125168704531333,0.6116867735290848,0.6062825819536497
137,138,Vanuatu,0.6025739153955199,72.334,10.89,6.8,2995.279721,19,..,78,41.914,0,..,..,0.5908636019260193,0.5918258974226492,0.5980629586045123,0.5985344667832966,0.6004620893621876,0.6025739153955199
138,139,Lao People's Democratic Republic,0.6012757253262982,67.021,11.20924,5.19385,6070.11563,-13,0.46086053980966235,197,62.629,27.51677852,0.40038590574808314,0.4662508645368182,0.5459513033155327,0.5686822562177493,0.5862266169272314,0.5933534949968853,0.5977938713656833,0.6012757253262982
139,140,Ghana,0.5917381944723934,63.033,11.61575,7.062,4096.173789,3,0.5381280851132203,319,66.611,12.72727273,0.4552306664975568,0.48439917601722243,0.5543590016703887,0.5697184178282927,0.5761479871920256,0.5850150756769716,0.5876416123144391,0.5917381944723934
140,141,Equatorial Guinea,0.5905610350641948,57.939,9.3,5.53909,19512.53253,-80,..,342,155.622,19.65317919,..,0.5163096602462404,0.58118179226218,0.5888609487423863,0.590449028128955,0.5930654173115661,0.5924931095035418,0.5905610350641948
141,142,Kenya,0.5899201770669585,67.291,12.077442,6.476,2960.799699,16,0.5494081009283815,510,80.489,23.26139089,0.46832715974648076,0.45105515556202996,0.5433189796636856,0.5594854118230086,0.5722413072512467,0.5782677174821498,0.5845812876109328,0.5899201770669585
142,143,Sao Tome and Principe,0.5894762831396532,66.762,12.46685,6.33347,2941.312798,16,0.5375873736757684,156,94.838,18.18181818,0.452495335629422,0.4900513816705147,0.5418846950070498,0.5513102977603191,0.5671467312733085,0.5801903292812787,0.5838729101502239,0.5894762831396532
143,144,Eswatini (Kingdom of),0.5883163541434715,58.268,11.19615,6.52137,7619.943492,-29,0.5690479811623285,389,76.98,14.73684211,0.5359408478460913,0.4711664851665087,0.5382472531548176,0.5609232066455224,0.5795262107039688,0.5835574942116112,0.5861528551179647,0.5883163541434715
144,144,Zambia,0.5880834724684512,62.255,12.5123,6.97,3557.379352,3,0.5170234897135724,224,82.818,17.96407186,0.4006062929942018,0.43195228082853865,0.5443774125112503,0.5686460761970218,0.580402239608108,0.5834040445607726,0.585757047631983,0.5880834724684512
145,146,Cambodia,0.5819750406575783,69.331,11.72106311,4.844,3412.937431,3,0.472925551633674,161,50.177,18.47826087,0.36386430412672505,0.4197950057231822,0.537036099755243,0.5528798470213122,0.56622828030101,0.5706004860629573,0.5762203625157908,0.5819750406575783
146,147,Angola,0.5811785654609929,61.809,11.77,5.12546,5789.861511,-16,..,477,151.589,30.45454545,..,0.38713173543377544,0.5204147492483068,0.543262727449516,0.5639129363745963,0.5720510299313855,0.5769332632357265,0.5811785654609929
147,148,Myanmar,0.578263212736457,66.744,10.04659,4.91335,5567.223953,-15,0.4558040380582892,178,28.678,10.24464832,0.35849270214714,0.4311898107285713,0.5300474247681428,0.548720914920584,0.5636705991717651,0.5692047552476863,0.5740466052209053,0.578263212736457
148,149,Nepal,0.5740380250349745,70.604,12.19644,4.88185,2470.988021,12,0.4796010071407498,258,60.482,29.57983193,0.37814135904567997,0.4457528125675691,0.5285221053533107,0.5475976859664788,0.5604091526601025,0.5659871355863967,0.5693033764385944,0.5740380250349745
149,150,Pakistan,0.5616025856814071,66.629,8.58696,5.18874,5311.219289,-14,0.5410375746145432,178,36.908,20.04504505,0.4040431637043525,0.4500108102415151,0.5257502821076722,0.5345465874335533,0.5478279361625293,0.5511102552972208,0.5595986310062098,0.5616025856814071
150,151,Cameroon,0.55593848219278,58.575,12.19407,6.26246,3314.744584,2,0.5688041427140836,596,105.8,27.14285714,0.44031612892222516,0.43134395575214407,0.5062331730400352,0.5261468732897976,0.543091727654025,0.5482586222530534,0.5529673365211704,0.55593848219278
151,152,Solomon Islands,0.5459600414306249,71.006,10.22041433,5.54073,1872.453835,15,..,114,46.369,2,..,0.4499963795883593,0.5066997980469409,0.5294149095120881,0.5393698089487307,0.5457702498137882,0.5429098901522234,0.5459600414306249
152,153,Papua New Guinea,0.5443040019721296,65.705,10,4.58,3402.574224,-3,0.7412841671770717,215,52.655,0,0.3797430204129548,0.44946511507347775,0.5203734846999728,0.5298366321427108,0.5362533606196656,0.5417654868727892,0.5428877007279085,0.5443040019721296
153,154,Tanzania (United Republic of),0.5377147405957455,66.31,8.92369,5.78,2655.39382,6,0.5367825215391063,398,115.066,37.17948718,0.37033859291588744,0.3952510916016083,0.493078124781892,0.5064780123592169,0.5151206569999698,0.5279872522275346,0.5331760337662841,0.5377147405957455
154,155,Syrian Arab Republic,0.5357037008283201,70.963,8.7528,5.0625,2337.170091,8,0.546766075295937,68,38.592,13.2,..,0.5900331617149424,0.6440400473747413,0.6313509282677161,0.5503189717507024,0.5379200618395041,0.5356407978551503,0.5357037008283201
155,156,Zimbabwe,0.534553285754596,61.712,10.31433,8.14984,1682.839299,17,0.5344529808332346,443,104.081,36.1516035,0.49066431341234507,0.4404044651733693,0.46696856851535185,0.5046445812324405,0.5249700108888624,0.5287054372927932,0.5319951308483715,0.534553285754596
156,157,Nigeria,0.5318096992094414,53.875,9.970482,6.1755,5231.222288,-20,..,814,107.33,5.769230769,..,..,0.4838596986127625,0.5119080862150741,0.5240362328572649,0.527394930974396,0.5302561405141523,0.5318096992094414
157,158,Rwanda,0.5239467123935055,67.496,11.22042,4.14596,1811.223531,11,0.38130451595579073,290,25.729,55.66037736,0.24970922429203385,0.3350240116600428,0.48511888162084427,0.500402425072297,0.50937814147256,0.5104711257589744,0.5203023732923725,0.5239467123935055
158,159,Lesotho,0.5197294300583932,54.568,10.56401,6.25,3254.907249,-4,0.5437883618513513,487,89.518,22.72727273,0.499057851228631,0.46695384939008466,0.49268360540930317,0.5046846363283817,0.5085790269765713,0.5107544584781055,0.5157027371652727,0.5197294300583932
159,159,Mauritania,0.5196437207585913,63.384,8.58813,4.502,3591.761196,-13,0.6165675111225937,602,79.221,25.17006803,0.37410246339783665,0.44216667586402864,0.48649047788244915,0.4990328836297154,0.5141909865046455,0.5137325554965164,0.5164198020949057,0.5196437207585913
160,161,Madagascar,0.5191625268680301,66.312,10.56879,6.14595,1357.758439,20,..,353,109.59,19.62616822,..,0.455723599821306,0.5036638568260453,0.5066830367254609,0.5118459905352578,0.5143632420295172,0.5168070378622761,0.5191625268680301
161,162,Uganda,0.5163208146992461,60.182,11.588167,6.09025,1657.976334,13,0.5226012503162786,343,106.502,34.29844098,0.3106254990530399,0.3981581358502162,0.48633688547410314,0.4915183424994084,0.5001770436631097,0.5049266893908168,0.5081062616428281,0.5163208146992461
162,163,Benin,0.5146196727249062,61.171,12.56764,3.64903,2061.433065,2,0.6114863231537848,405,86.096,7.228915663,0.3477101264350511,0.3978506870275957,0.4728497793179804,0.48869684715297457,0.50539892135751,0.5084414331707566,0.5120965226501945,0.5146196727249062
163,164,Senegal,0.5051337229118531,67.477,9.677004398,2.9862,2384.177299,-2,0.5146887538002087,315,72.684,41.81818182,0.36652795549770495,0.3799865993486644,0.4561244481644168,0.47580740274232747,0.4861842106146975,0.49247790461423285,0.4987048593850021,0.5051337229118531
164,165,Comoros,0.5032535549232968,63.912,11.2447,4.832,1398.797513,15,..,335,65.351,6.060606061,..,..,0.48166245548426334,0.49330549556812436,0.5012919409821797,0.5018652268446918,0.5023231335017502,0.5032535549232968
165,165,Togo,0.5032200003683683,60.477,12.42428728,4.83068,1453.432247,14,0.5669123671210351,368,89.091,17.58241758,0.40463533277947394,0.42513156792725904,0.45628882772764956,0.4660762692059454,0.48140503150570596,0.49542650526436804,0.5001598768952389,0.5032200003683683
166,167,Sudan,0.5024656782427469,64.698,7.42024,3.67,4119.151849,-25,0.564016653561494,311,63.993,31.04166667,0.33112435686636604,0.40211052312042095,0.4703777154438101,0.48512319309597113,0.492210738932249,0.4967499922121446,0.49907484550558273,0.5024656782427469
167,168,Afghanistan,0.4976951140457886,64.047,10.39716,3.78,1823.52936,0,0.6527251933903402,396,64.462,27.44479495,..,..,0.46264370968659857,0.4815449295722067,0.4909219439498434,0.49286674503908734,0.4942397377480059,0.4976951140457886
168,168,Haiti,0.4979451106275056,63.589,9.3,5.25,1665.462596,6,0.601233581852834,359,37.45,2.739726027,0.4088797414606469,0.44208232164606903,0.46996827645233014,0.48128058070425306,0.4900637933609548,0.4929905516945418,0.4955476711972184,0.4979451106275056
169,170,C̫te d'Ivoire,0.49230450211835647,54.102,9.03737,5.192,3481.22531,-22,0.6634367478264858,645,132.711,9.163346614,0.3876889778391425,0.39408061662312854,0.4421632005038006,0.4543656383528496,0.46541342955675935,0.4776919993025964,0.48641511993934466,0.49230450211835647
170,171,Malawi,0.47655279534814654,63.671,10.79649407,4.53,1064.416511,14,0.6194763789535884,634,140.235,16.66666667,0.3395986065331769,0.3989022706351803,0.4412437507715632,0.45494672863493163,0.46770322337815284,0.47011602989616347,0.47395014966097015,0.47655279534814654
171,172,Djibouti,0.4760057309012475,62.643,6.234344887,4.07,3391.747048,-21,..,229,18.841,10.76923077,..,0.36319593426115565,0.44945183465913846,0.4588202538392936,0.4668086184776749,0.4702273859836105,0.47366231809374193,0.4760057309012475
172,173,Ethiopia,0.4626640918755825,65.874,8.539623052,2.68114,1719.378176,-1,0.5021350270680964,353,62.459,37.28571429,..,0.28336519736416105,0.41205466586037337,0.429612829901251,0.44486525782716174,0.4511826879814017,0.45669812173396457,0.4626640918755825
173,174,Gambia,0.46006723569790536,61.424,9.150415,3.538,1515.619983,4,0.6228170338427954,706,79.199,10.34482759,0.33296787815410644,0.38529450322184683,0.4409370166045362,0.4452764979042815,0.45367605625792035,0.45665823885044526,0.45723379520664537,0.46006723569790536
174,175,Guinea,0.459111121636894,60.617,9.10472,2.56848,2066.672358,-11,..,679,135.294,21.92982456,0.276227777887398,0.3286316913900501,0.4043277260796892,0.4276290493357561,0.44041941236175747,0.4434421478937639,0.4491605523909196,0.459111121636894
175,176,Congo (Democratic Republic of the),0.4574692129260281,60.031,9.75,6.75948,795.8264152,12,0.6519380527385298,693,124.22,8.166666667,0.3564554806371658,0.33293563518071523,0.40656561347330633,0.41950179313598046,0.4355149414792476,0.4444336707982667,0.4523197633835507,0.4574692129260281
176,177,Guinea-Bissau,0.4553035532289877,57.805,10.5,3.00392,1551.809772,0,..,549,84.482,13.7254902,..,..,0.4261784532682192,0.43662701678250865,0.4453788625720695,0.44865870214489095,0.4532730301957445,0.4553035532289877
177,178,Yemen,0.45190042638439004,65.157,8.977,3,1239.29141,5,0.8344952751382234,385,60.352,0.518134715,0.3993333317752968,0.44257167749797455,0.49768277362621127,0.5046721077152792,0.505280034861276,0.48311654558913614,0.46158712994690765,0.45190042638439004
178,179,Eritrea,0.43997853797660647,65.536,5.37934,3.95245,1750.458994,-9,..,501,51.611,22,..,..,0.4163479096315215,0.4215286123902137,0.4283341541605381,0.4332459724217246,0.4361570234561582,0.43997853797660647
179,180,Mozambique,0.43657991125082857,58.872,9.66901,3.49912,1092.688158,4,0.5523470927536647,489,135.247,39.6,0.20861004252293902,0.2975136394689613,0.40347192524149844,0.41185881979239186,0.42741386978710455,0.43226046895104947,0.4347786717879721,0.43657991125082857
180,181,Liberia,0.4350939080153162,63.006,10.03589975,4.668,666.7729501,9,0.6556459596333543,725,127.46,9.900990099,..,0.3866750603187443,0.40659651373867955,0.42021921716224664,0.4305771271899036,0.4316816879228009,0.4319399495482801,0.4350939080153162
181,182,Mali,0.4268688608764687,58.456,7.7428,2.33342,1952.94601,-16,0.6775051293644697,587,169.127,8.843537415,0.23123165735914536,0.3082606377671597,0.4032980670078285,0.40787288494439056,0.41396068550466836,0.4176538606610925,0.420896861219084,0.4268688608764687
182,183,Burkina Faso,0.4234231852553077,60.77,8.52559,1.46953,1650.092096,-7,0.6102999940288348,371,104.329,11.02362205,..,0.2859153854451182,0.3747465385517476,0.39432010685092905,0.4048992376713968,0.4124828631593049,0.42021153170421266,0.4234231852553077
183,184,Sierra Leone,0.418987064789857,52.214,9.848868,3.5,1239.936296,-2,0.6447671592611005,1360,112.828,12.39669421,0.27506160903117577,0.28403914147133535,0.3852968013031671,0.4069054418017894,0.4227753790969834,0.41296732239357425,0.41348796893971784,0.418987064789857
184,185,Burundi,0.41721617425553165,57.857,11.68402,2.96889,702.2560922,4,0.47066428181012976,712,26.782,37.80487805,0.2965184522704739,0.30342150919223737,0.3953882083094103,0.4083563256106634,0.42053938543220115,0.4181118121953216,0.41771547753681665,0.41721617425553165
185,186,Chad,0.4039702473906461,53.208,7.95605,2.32333,1750.185697,-15,0.708284808232301,856,161.09,12.76595745,..,0.2985032541514397,0.37120525441032337,0.39072467385738213,0.40265021687817776,0.407383116956797,0.40530628922982864,0.4039702473906461
186,187,South Sudan,0.38772518084873253,57.288,4.87162,4.84913,963.1740924,-1,..,789,62.04,26.55889145,..,..,0.4133888415456518,0.3880194820639382,0.3973491719197801,0.39913949823610384,0.39419858515913664,0.38772518084873253
187,188,Central African Republic,0.3668093446572905,52.89,7.180003207,4.256,663.1516331,3,0.6733556717496509,882,103.802,8.571428571,0.3173591802152401,0.309103399797703,0.3507690092319476,0.3652097425519092,0.3493418981447885,0.35667287443777146,0.36220136475364745,0.3668093446572905
188,189,Niger,0.35393119203339585,60.422,5.368508627,1.95133,905.8680486,-2,0.6488819337943521,553,191.984,16.95906433,0.21035764924148223,0.25200229490439574,0.31792395843740984,0.3360301237993033,0.345190594062565,0.34740649639755955,0.35094402168132993,0.35393119203339585
